# Description: This file contains daily mean sea surface temperature (SST) data from,,,
#  ERA5 averaged over 60°S-60°N from 1979 to 2024 as well as daily temperature anomalies,,,
#  relative to the 1991-2020 reference period.,,,
# Data source: The original ERA5 gridded hourly data used to generate the time series can be,,,
#  downloaded from the C3S Climate Data Store (CDS) at the following link:,,,
#  https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,,,
# Data availability: The ERA5 data available in the CDS are updated with a 5-day delay (120 hours),,,
#  behind real-time. Note that the time series below includes values based on ERA5 data not yet,,,
#  available in the CDS (for days 2 to 5 behind real-time).,,,
# Status: Can be preliminary or final. If preliminary, the values will likely change (slightly),,
#  once the final ERA5 data for the day are available (typically 3 days behind real-time).,,,
# Columns:,,,
#  sst: Daily mean absolute SST,,,
#  clim_91-20: Daily climatology for 1991-2020,,,
#  ano_91-20: Daily anomaly relative to the 1991-2020 daily climatology,,,
#  status: Preliminary or final,,,
# Units: deg. C,,,
# Last updated: 07 Aug 2024,,,
date,sst,clim_91-20,ano_91-20
1/1/79,20.08,20.24,-0.15
1/2/79,20.08,20.24,-0.16
1/3/79,20.09,20.25,-0.16
1/4/79,20.1,20.25,-0.15
1/5/79,20.12,20.26,-0.14
1/6/79,20.13,20.26,-0.13
1/7/79,20.15,20.27,-0.12
1/8/79,20.15,20.27,-0.12
1/9/79,20.16,20.28,-0.12
1/10/79,20.16,20.28,-0.13
1/11/79,20.15,20.29,-0.13
1/12/79,20.14,20.29,-0.15
1/13/79,20.13,20.3,-0.16
1/14/79,20.13,20.3,-0.18
1/15/79,20.13,20.31,-0.18
1/16/79,20.13,20.31,-0.18
1/17/79,20.14,20.32,-0.18
1/18/79,20.14,20.32,-0.19
1/19/79,20.14,20.33,-0.19
1/20/79,20.14,20.34,-0.19
1/21/79,20.14,20.34,-0.2
1/22/79,20.15,20.35,-0.2
1/23/79,20.16,20.35,-0.19
1/24/79,20.17,20.36,-0.19
1/25/79,20.18,20.36,-0.18
1/26/79,20.19,20.37,-0.18
1/27/79,20.2,20.38,-0.17
1/28/79,20.22,20.38,-0.16
1/29/79,20.23,20.39,-0.15
1/30/79,20.25,20.39,-0.15
1/31/79,20.25,20.4,-0.14
2/1/79,20.26,20.4,-0.15
2/2/79,20.26,20.41,-0.15
2/3/79,20.26,20.41,-0.16
2/4/79,20.25,20.42,-0.17
2/5/79,20.25,20.43,-0.18
2/6/79,20.25,20.43,-0.18
2/7/79,20.25,20.44,-0.19
2/8/79,20.26,20.44,-0.18
2/9/79,20.27,20.45,-0.17
2/10/79,20.29,20.45,-0.16
2/11/79,20.3,20.45,-0.16
2/12/79,20.3,20.46,-0.16
2/13/79,20.3,20.46,-0.17
2/14/79,20.29,20.47,-0.18
2/15/79,20.28,20.47,-0.19
2/16/79,20.27,20.48,-0.2
2/17/79,20.26,20.48,-0.22
2/18/79,20.25,20.48,-0.23
2/19/79,20.25,20.49,-0.24
2/20/79,20.25,20.49,-0.24
2/21/79,20.26,20.49,-0.23
2/22/79,20.27,20.5,-0.23
2/23/79,20.28,20.5,-0.22
2/24/79,20.28,20.5,-0.22
2/25/79,20.29,20.51,-0.22
2/26/79,20.3,20.51,-0.21
2/27/79,20.3,20.51,-0.21
2/28/79,20.31,20.51,-0.21
3/1/79,20.31,20.52,-0.21
3/2/79,20.3,20.52,-0.21
3/3/79,20.3,20.52,-0.22
3/4/79,20.31,20.52,-0.22
3/5/79,20.32,20.52,-0.21
3/6/79,20.32,20.53,-0.2
3/7/79,20.33,20.53,-0.19
3/8/79,20.34,20.53,-0.19
3/9/79,20.34,20.53,-0.19
3/10/79,20.33,20.53,-0.2
3/11/79,20.33,20.53,-0.21
3/12/79,20.32,20.53,-0.21
3/13/79,20.31,20.54,-0.23
3/14/79,20.3,20.54,-0.24
3/15/79,20.29,20.54,-0.25
3/16/79,20.29,20.54,-0.25
3/17/79,20.29,20.54,-0.25
3/18/79,20.29,20.54,-0.25
3/19/79,20.29,20.54,-0.25
3/20/79,20.28,20.54,-0.26
3/21/79,20.26,20.54,-0.28
3/22/79,20.25,20.54,-0.29
3/23/79,20.25,20.54,-0.29
3/24/79,20.27,20.54,-0.27
3/25/79,20.28,20.54,-0.26
3/26/79,20.3,20.54,-0.24
3/27/79,20.32,20.54,-0.22
3/28/79,20.34,20.54,-0.2
3/29/79,20.37,20.54,-0.17
