,date,sst,clim_91-20,ano_91-20,year,month,day
0,1979-01-01,20.08,20.24,-0.15,1979,1,1
1,1979-01-02,20.08,20.24,-0.16,1979,1,2
2,1979-01-03,20.09,20.25,-0.16,1979,1,3
3,1979-01-04,20.1,20.25,-0.15,1979,1,4
4,1979-01-05,20.12,20.26,-0.14,1979,1,5
5,1979-01-06,20.13,20.26,-0.13,1979,1,6
6,1979-01-07,20.15,20.27,-0.12,1979,1,7
7,1979-01-08,20.15,20.27,-0.12,1979,1,8
8,1979-01-09,20.16,20.28,-0.12,1979,1,9
9,1979-01-10,20.16,20.28,-0.13,1979,1,10
10,1979-01-11,20.15,20.29,-0.13,1979,1,11
11,1979-01-12,20.14,20.29,-0.15,1979,1,12
12,1979-01-13,20.13,20.3,-0.16,1979,1,13
13,1979-01-14,20.13,20.3,-0.18,1979,1,14
14,1979-01-15,20.13,20.31,-0.18,1979,1,15
15,1979-01-16,20.13,20.31,-0.18,1979,1,16
16,1979-01-17,20.14,20.32,-0.18,1979,1,17
17,1979-01-18,20.14,20.32,-0.19,1979,1,18
18,1979-01-19,20.14,20.33,-0.19,1979,1,19
19,1979-01-20,20.14,20.34,-0.19,1979,1,20
20,1979-01-21,20.14,20.34,-0.2,1979,1,21
21,1979-01-22,20.15,20.35,-0.2,1979,1,22
22,1979-01-23,20.16,20.35,-0.19,1979,1,23
23,1979-01-24,20.17,20.36,-0.19,1979,1,24
24,1979-01-25,20.18,20.36,-0.18,1979,1,25
25,1979-01-26,20.19,20.37,-0.18,1979,1,26
26,1979-01-27,20.2,20.38,-0.17,1979,1,27
27,1979-01-28,20.22,20.38,-0.16,1979,1,28
28,1979-01-29,20.23,20.39,-0.15,1979,1,29
29,1979-01-30,20.25,20.39,-0.15,1979,1,30
30,1979-01-31,20.25,20.4,-0.14,1979,1,31
31,1979-02-01,20.26,20.4,-0.15,1979,2,1
32,1979-02-02,20.26,20.41,-0.15,1979,2,2
33,1979-02-03,20.26,20.41,-0.16,1979,2,3
34,1979-02-04,20.25,20.42,-0.17,1979,2,4
35,1979-02-05,20.25,20.43,-0.18,1979,2,5
36,1979-02-06,20.25,20.43,-0.18,1979,2,6
37,1979-02-07,20.25,20.44,-0.19,1979,2,7
38,1979-02-08,20.26,20.44,-0.18,1979,2,8
39,1979-02-09,20.27,20.45,-0.17,1979,2,9
40,1979-02-10,20.29,20.45,-0.16,1979,2,10
41,1979-02-11,20.3,20.45,-0.16,1979,2,11
42,1979-02-12,20.3,20.46,-0.16,1979,2,12
43,1979-02-13,20.3,20.46,-0.17,1979,2,13
44,1979-02-14,20.29,20.47,-0.18,1979,2,14
45,1979-02-15,20.28,20.47,-0.19,1979,2,15
46,1979-02-16,20.27,20.48,-0.2,1979,2,16
47,1979-02-17,20.26,20.48,-0.22,1979,2,17
48,1979-02-18,20.25,20.48,-0.23,1979,2,18
49,1979-02-19,20.25,20.49,-0.24,1979,2,19
50,1979-02-20,20.25,20.49,-0.24,1979,2,20
51,1979-02-21,20.26,20.49,-0.23,1979,2,21
52,1979-02-22,20.27,20.5,-0.23,1979,2,22
53,1979-02-23,20.28,20.5,-0.22,1979,2,23
54,1979-02-24,20.28,20.5,-0.22,1979,2,24
55,1979-02-25,20.29,20.51,-0.22,1979,2,25
56,1979-02-26,20.3,20.51,-0.21,1979,2,26
57,1979-02-27,20.3,20.51,-0.21,1979,2,27
58,1979-02-28,20.31,20.51,-0.21,1979,2,28
59,1979-03-01,20.31,20.52,-0.21,1979,3,1
60,1979-03-02,20.3,20.52,-0.21,1979,3,2
61,1979-03-03,20.3,20.52,-0.22,1979,3,3
62,1979-03-04,20.31,20.52,-0.22,1979,3,4
63,1979-03-05,20.32,20.52,-0.21,1979,3,5
64,1979-03-06,20.32,20.53,-0.2,1979,3,6
65,1979-03-07,20.33,20.53,-0.19,1979,3,7
66,1979-03-08,20.34,20.53,-0.19,1979,3,8
67,1979-03-09,20.34,20.53,-0.19,1979,3,9
68,1979-03-10,20.33,20.53,-0.2,1979,3,10
69,1979-03-11,20.33,20.53,-0.21,1979,3,11
70,1979-03-12,20.32,20.53,-0.21,1979,3,12
71,1979-03-13,20.31,20.54,-0.23,1979,3,13
72,1979-03-14,20.3,20.54,-0.24,1979,3,14
73,1979-03-15,20.29,20.54,-0.25,1979,3,15
74,1979-03-16,20.29,20.54,-0.25,1979,3,16
75,1979-03-17,20.29,20.54,-0.25,1979,3,17
76,1979-03-18,20.29,20.54,-0.25,1979,3,18
77,1979-03-19,20.29,20.54,-0.25,1979,3,19
78,1979-03-20,20.28,20.54,-0.26,1979,3,20
79,1979-03-21,20.26,20.54,-0.28,1979,3,21
80,1979-03-22,20.25,20.54,-0.29,1979,3,22
81,1979-03-23,20.25,20.54,-0.29,1979,3,23
82,1979-03-24,20.27,20.54,-0.27,1979,3,24
83,1979-03-25,20.28,20.54,-0.26,1979,3,25
84,1979-03-26,20.3,20.54,-0.24,1979,3,26
85,1979-03-27,20.32,20.54,-0.22,1979,3,27
86,1979-03-28,20.34,20.54,-0.2,1979,3,28
87,1979-03-29,20.37,20.54,-0.17,1979,3,29
88,1979-03-30,20.39,20.54,-0.15,1979,3,30
89,1979-03-31,20.39,20.53,-0.14,1979,3,31
90,1979-04-01,20.39,20.53,-0.14,1979,4,1
91,1979-04-02,20.38,20.53,-0.15,1979,4,2
92,1979-04-03,20.38,20.53,-0.15,1979,4,3
93,1979-04-04,20.37,20.53,-0.16,1979,4,4
94,1979-04-05,20.37,20.53,-0.16,1979,4,5
95,1979-04-06,20.36,20.53,-0.16,1979,4,6
96,1979-04-07,20.35,20.52,-0.17,1979,4,7
97,1979-04-08,20.34,20.52,-0.18,1979,4,8
98,1979-04-09,20.33,20.52,-0.19,1979,4,9
99,1979-04-10,20.33,20.52,-0.19,1979,4,10
100,1979-04-11,20.32,20.52,-0.19,1979,4,11
101,1979-04-12,20.32,20.51,-0.2,1979,4,12
102,1979-04-13,20.3,20.51,-0.21,1979,4,13
103,1979-04-14,20.29,20.51,-0.22,1979,4,14
104,1979-04-15,20.28,20.51,-0.23,1979,4,15
105,1979-04-16,20.26,20.5,-0.24,1979,4,16
106,1979-04-17,20.26,20.5,-0.24,1979,4,17
107,1979-04-18,20.26,20.5,-0.24,1979,4,18
108,1979-04-19,20.26,20.49,-0.23,1979,4,19
109,1979-04-20,20.27,20.49,-0.22,1979,4,20
110,1979-04-21,20.28,20.49,-0.21,1979,4,21
111,1979-04-22,20.29,20.48,-0.19,1979,4,22
112,1979-04-23,20.3,20.48,-0.18,1979,4,23
113,1979-04-24,20.3,20.48,-0.18,1979,4,24
114,1979-04-25,20.29,20.48,-0.18,1979,4,25
115,1979-04-26,20.29,20.47,-0.19,1979,4,26
116,1979-04-27,20.27,20.47,-0.2,1979,4,27
117,1979-04-28,20.26,20.47,-0.21,1979,4,28
118,1979-04-29,20.25,20.46,-0.21,1979,4,29
119,1979-04-30,20.25,20.46,-0.21,1979,4,30
120,1979-05-01,20.25,20.46,-0.21,1979,5,1
121,1979-05-02,20.24,20.45,-0.21,1979,5,2
122,1979-05-03,20.23,20.45,-0.22,1979,5,3
123,1979-05-04,20.21,20.45,-0.23,1979,5,4
124,1979-05-05,20.2,20.44,-0.24,1979,5,5
125,1979-05-06,20.19,20.44,-0.25,1979,5,6
126,1979-05-07,20.18,20.44,-0.26,1979,5,7
127,1979-05-08,20.17,20.43,-0.27,1979,5,8
128,1979-05-09,20.16,20.43,-0.27,1979,5,9
129,1979-05-10,20.16,20.43,-0.27,1979,5,10
130,1979-05-11,20.16,20.42,-0.26,1979,5,11
131,1979-05-12,20.17,20.42,-0.25,1979,5,12
132,1979-05-13,20.17,20.42,-0.25,1979,5,13
133,1979-05-14,20.17,20.42,-0.24,1979,5,14
134,1979-05-15,20.17,20.41,-0.24,1979,5,15
135,1979-05-16,20.17,20.41,-0.24,1979,5,16
136,1979-05-17,20.17,20.41,-0.24,1979,5,17
137,1979-05-18,20.16,20.4,-0.24,1979,5,18
138,1979-05-19,20.15,20.4,-0.25,1979,5,19
139,1979-05-20,20.15,20.4,-0.25,1979,5,20
140,1979-05-21,20.14,20.39,-0.25,1979,5,21
141,1979-05-22,20.14,20.39,-0.25,1979,5,22
142,1979-05-23,20.14,20.39,-0.25,1979,5,23
143,1979-05-24,20.14,20.39,-0.24,1979,5,24
144,1979-05-25,20.15,20.38,-0.24,1979,5,25
145,1979-05-26,20.15,20.38,-0.23,1979,5,26
146,1979-05-27,20.15,20.38,-0.22,1979,5,27
147,1979-05-28,20.16,20.38,-0.22,1979,5,28
148,1979-05-29,20.16,20.37,-0.21,1979,5,29
149,1979-05-30,20.16,20.37,-0.21,1979,5,30
150,1979-05-31,20.15,20.37,-0.22,1979,5,31
151,1979-06-01,20.16,20.37,-0.21,1979,6,1
152,1979-06-02,20.16,20.37,-0.21,1979,6,2
153,1979-06-03,20.16,20.36,-0.2,1979,6,3
154,1979-06-04,20.16,20.36,-0.21,1979,6,4
155,1979-06-05,20.15,20.36,-0.2,1979,6,5
156,1979-06-06,20.16,20.36,-0.2,1979,6,6
157,1979-06-07,20.18,20.36,-0.18,1979,6,7
158,1979-06-08,20.19,20.36,-0.16,1979,6,8
159,1979-06-09,20.21,20.35,-0.15,1979,6,9
160,1979-06-10,20.22,20.35,-0.14,1979,6,10
161,1979-06-11,20.22,20.35,-0.13,1979,6,11
162,1979-06-12,20.23,20.35,-0.12,1979,6,12
163,1979-06-13,20.23,20.35,-0.12,1979,6,13
164,1979-06-14,20.22,20.35,-0.12,1979,6,14
165,1979-06-15,20.21,20.35,-0.14,1979,6,15
166,1979-06-16,20.2,20.35,-0.15,1979,6,16
167,1979-06-17,20.18,20.35,-0.17,1979,6,17
168,1979-06-18,20.17,20.35,-0.18,1979,6,18
169,1979-06-19,20.16,20.35,-0.18,1979,6,19
170,1979-06-20,20.16,20.35,-0.19,1979,6,20
171,1979-06-21,20.16,20.35,-0.19,1979,6,21
